Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,1.4135277075644184,0.0,0,0
1,1.4135277075644184,0.0,0,0
100,1.6476285075858144,0.0,0,0
200,1.9419065028290392,0.0,0,0
300,2.145951058533672,0.0,0,0
400,2.3522756164337326,0.0,0,0
500,2.618083536796527,0.0,0,0
600,2.878096320745277,0.0,0,0
700,3.1459698181316242,0.0,0,0
800,3.4142322312908986,0.0,0,0
900,3.5867574948646594,0.0,0,0
1000,3.8049242363212676,0.0,0,0
1100,4.044790902205466,0.0,0,0
1200,4.272819362883164,0.0,0,0
1300,4.5104221333304855,0.0,0,0
1400,4.715223389262516,0.0,0,0
1500,4.952593686014207,0.0,0,0
1600,5.134032178239799,0.0,0,0
1700,5.349384451971118,0.0,0,0
1800,5.623055229030354,0.0,0,0
1900,5.8059302209217005,0.0,0,0
2000,6.068393493710321,0.0,0,0
2100,6.358261679974787,0.0,0,0
2200,6.597905123955903,0.0,0,0
2300,6.822776382830352,0.0,0,0
2400,7.077873778602971,0.0,0,0
2500,7.2812888626293795,0.0,0,0
2600,7.490469956295504,0.0,0,0
2700,7.760142162589074,0.0,0,0
2800,7.963213108224769,0.0,0,0
2900,8.274406490474176,0.0,0,0
3000,8.500595822953338,0.0,0,0
3100,8.695365283480436,0.0,0,0
3200,8.931470448013007,0.0,0,0
3300,9.164339606966026,0.0,0,0
3400,9.455062242942992,0.0,0,0
3500,9.654897609384976,0.0,0,0
3600,9.883180395843398,0.0,0,0
3700,10.13960458194032,0.0,0,0
3800,10.356979494761662,0.0,0,0
3900,10.635776026601517,0.0,0,0
4000,10.958519624746042,0.0,0,0
4100,11.218876070783875,0.0,0,0
4200,11.442433793197957,0.0,0,0
4300,11.724335008604939,0.0,0,0
4400,12.080146731535397,0.0,0,0
4500,12.312926417943011,0.0,0,0
4600,12.595897457937845,0.0,0,0
4700,12.965211083375452,0.0,0,0
4800,13.199616339278274,0.0,0,0
4900,13.42265840081122,0.0,0,0
5000,13.664103185738664,0.0,0,0
5100,13.915707868126443,0.0,0,0
5200,14.13867132660119,0.0,0,0
5300,14.459904072892984,0.0,0,0
5400,14.73511501029569,0.0,0,0
5500,15.012555096680469,0.0,0,0
5600,15.281399258664512,0.0,0,0
5700,15.640314856587004,0.0,0,0
5800,15.865901778834404,0.0,0,0
5900,16.246369411230976,0.0,0,0
6000,16.577358306378102,0.0,0,0
6100,16.792024980589375,0.0,0,0
6200,17.046860357265636,0.0,0,0
6300,17.44411325969075,0.0,0,0
6400,17.759288066070383,0.0,0,0
6500,18.040239186462458,0.0,0,0
6600,18.3382692305575,0.0,0,0
6700,18.617758457263825,0.0,0,0
6800,18.92492230689606,0.0,0,0
6900,19.204359767204313,0.0,0,0
7000,19.526008745146022,0.0,0,0
7100,19.86660403598104,0.0,0,0
7200,20.168719984711746,0.0,0,0
7300,20.466466054634235,0.0,0,0
7400,20.74252177744516,0.0,0,0
7500,21.014863570992475,0.0,0,0
7600,21.260322428362105,0.0,0,0
7700,21.581714410210093,0.0,0,0
7800,21.96785516113024,0.0,0,0
7900,22.335071799904423,0.0,0,0
8000,22.571328056730913,0.0,0,0
8100,22.912656505681888,0.0,0,0
8200,23.216919350127075,0.0,0,0
8300,23.56974332890026,0.0,0,0
8400,23.991038584529786,0.0,0,0
8500,24.416654585854065,0.0,0,0
8600,24.760585882431638,0.0,0,0
8700,25.136740424823824,0.0,0,0
8800,25.453647381894616,0.0,0,0
8900,25.823144144615867,0.0,0,0
9000,26.242630318211386,0.0,0,0
9100,26.610091951905183,0.0,0,0
9200,27.015248237053278,0.0,0,0
9300,27.33872941900524,0.0,0,0
9400,27.895244686930287,0.0,0,0
9500,28.36074198341683,0.0,0,0
9600,28.725667983849355,0.0,0,0
9700,29.165561753077693,0.0,0,0
9800,29.474906397730184,0.0,0,0
9900,29.98916237819946,0.0,0,0
10000,30.51711323751195,0.0,0,0
10100,30.849589781535734,0.0,0,0
10200,31.215851868279366,0.0,0,0
10300,31.622737714197676,0.0,0,0
10400,32.116487287554385,0.0,0,0
10500,32.51965642180808,0.0,0,0
10600,32.9056686685102,0.0,0,0
10700,33.40499512531789,0.0,0,0
10800,33.98238694349123,0.0,0,0
10900,34.46769756042243,0.0,0,0
11000,34.97432645190528,0.0,0,0
11100,35.46634940800226,0.0,0,0
11200,35.94879597121391,0.0,0,0
11300,36.462821567937354,0.0,0,0
11400,37.06824536857663,0.0,0,0
11500,37.64098218236394,0.0,0,0
11600,38.03835444023263,0.0,0,0
11700,38.60137525639526,0.0,0,0
11800,39.188863276363044,0.0,0,0
11900,39.705695887996285,0.0,0,0
12000,40.43782300990785,0.0,0,0
12100,41.110453824228486,0.0,0,0
12200,41.4569428725028,0.0,0,0
12300,42.168465566102576,0.0,0,0
12400,42.78054506467535,0.0,0,0
12500,43.205352255107975,0.0,0,0
12600,43.70018772489039,0.0,0,0
12700,44.45800755002431,0.0,0,0
12800,45.12205652821042,0.0,0,0
12900,45.77900802026701,0.0,0,0
13000,46.4151583495013,0.0,0,0
13100,46.88627635860052,0.0,0,0
13200,47.4707427975913,0.0,0,0
13300,48.130739100318486,0.0,0,0
13400,48.76144216063559,0.0,0,0
13500,49.542142766977825,0.0,0,0
13600,50.28201279116473,0.0,0,0
13700,50.86342328046622,0.0,0,0
13800,51.33168769380318,0.0,0,0
13900,52.195409697949856,0.0,0,0
14000,52.788159491112204,0.0,0,0
14100,53.663212685184206,0.0,0,0
14200,54.26819376367911,0.0,0,0
14300,54.880833187390735,0.0,0,0
14400,55.623327407793724,0.0,0,0
14500,56.132030490105976,0.0,0,0
14600,56.85016305949183,0.0,0,0
14700,57.58969236234358,0.0,0,0
14800,58.20447431680975,0.0,0,0
14900,58.89342923586274,0.0,0,0
15000,59.5109201256262,0.0,0,0
15100,60.05758496651385,0.0,0,0
15200,60.83353249683068,0.0,0,0
15300,61.603699498742394,0.0,0,0
15400,62.45509317236327,0.0,0,0
15500,63.177838489594265,0.0,0,0
15600,63.66297989853464,0.0,0,0
15700,64.18093468299942,0.0,0,0
15800,64.77421316732867,0.0,0,0
15900,65.46594317740929,0.0,0,0
16000,66.39832033954814,0.0,0,0
16100,67.39463804674696,0.0,0,0
16200,68.46642329633978,0.0,0,0
16300,69.14108532610389,0.0,0,0
16400,69.97463570616247,0.0,0,0
16500,70.5912638733984,0.0,0,0
16600,71.46860879162877,0.0,0,0
16700,72.5429886502841,0.0,0,0
16800,73.56778616434417,0.0,0,0
16900,74.10304850898338,0.0,0,0
17000,75.13628081686512,0.0,0,0
17100,76.35816795661269,0.0,0,0
17200,77.09029683973063,0.0,0,0
17300,78.09115268973636,0.0,0,0
17400,79.29648059474097,0.0,0,0
17500,80.3607530808097,0.0,0,0
17600,81.42293582109816,0.0,0,0
17700,82.19468845391346,0.0,0,0
17800,83.10114283798278,0.0,0,0
17900,84.30253552020541,0.0,0,0
18000,84.92497008982579,0.0,0,0
18100,85.91530888614065,0.0,0.0625,0.015625
18200,86.75694333008555,0.0,0,0
18300,87.6280431294199,0.0,0.0625,0.015625
18400,88.44872973310947,0.0,0,0
18500,89.30434685246651,0.0,0,0
18600,90.38769206450644,0.0,0,0
18700,91.26441252304807,0.0,0,0
18800,92.1004515818573,0.0,0,0
18900,92.97453196139318,0.0,0.0625,0.015625
19000,94.12214788600917,0.0,0,0
19100,94.76883043971843,0.0,0,0
19200,95.6298954023554,0.0,0,0
19300,96.44610358843629,0.0,0,0
19400,97.19655752832996,0.0,0,0
19500,98.35376436144963,0.0,0.0625,0.015625
19600,99.43173982083108,0.0,0,0
19700,100.72745750248085,0.0,0,0
19800,101.80165681119131,0.0,0,0
19900,102.61083915425132,0.0,0.0625,0.03125
20000,103.48841156644913,0.0,0.0625,0.015625
20100,104.64947803625395,0.0,0.0625,0.03125
20200,105.92398220693367,0.0,0.0625,0.015625
20300,107.35544173114138,0.0,0.0625,0.046875
20400,108.49152562176944,0.0,0,0
20500,109.80629151168058,0.0,0.0625,0.015625
20600,110.81519708160364,0.0,0,0
20700,112.25891557515864,0.0,0.0625,0.015625
20800,113.63764434300816,0.0,0.0625,0.046875
