Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,1.0205183977566246,0.0,0,0
1,1.0205183977566246,0.0,0,0
100,1.313257596700805,0.0,0,0
200,1.6777405187966368,0.0,0,0
300,2.0619338811576964,0.0,0,0
400,2.3476698175408672,0.0,0,0
500,2.608366781373593,0.0,0,0
600,2.829311625800201,0.0,0,0
700,3.169851246816576,0.0,0,0
800,3.4233992277896133,0.0,0,0
900,3.68922538062163,0.0,0,0
1000,3.945411119087067,0.0,0,0
1100,4.238489926730682,0.0,0,0
1200,4.526402395945321,0.0,0,0
1300,4.774897231789771,0.0,0,0
1400,5.022367763571784,0.0,0,0
1500,5.226783785410049,0.0,0,0
1600,5.435215408738271,0.0,0,0
1700,5.629162496861856,0.0,0,0
1800,5.861985526429378,0.0,0,0
1900,6.054473627893396,0.0,0,0
2000,6.278868903513133,0.0,0,0
2100,6.567958652418861,0.0,0,0
2200,6.90549013226332,0.0,0,0
2300,7.146182654393886,0.0,0,0
2400,7.3969994324647335,0.0,0,0
2500,7.63413321764738,0.0,0,0
2600,7.934204924033069,0.0,0,0
2700,8.229416967766074,0.0,0,0
2800,8.428662870732998,0.0,0,0
2900,8.698261599012557,0.0,0,0
3000,8.898432446191428,0.0,0,0
3100,9.1488874285943,0.0,0,0
3200,9.399211406092268,0.0,0,0
3300,9.618244488432829,0.0,0,0
3400,9.828578927713112,0.0,0,0
3500,10.086218424173415,0.0,0,0
3600,10.417828184187634,0.0,0,0
3700,10.59208244418616,0.0,0,0
3800,10.809231149704438,0.0,0,0
3900,11.06370396229279,0.0,0,0
4000,11.30451993149025,0.0,0,0
4100,11.60618023487327,0.0,0,0
4200,11.798964481851632,0.0,0,0
4300,12.07680012330364,0.0,0,0
4400,12.291978956821943,0.0,0,0
4500,12.542733755018451,0.0,0,0
4600,12.762541846813761,0.0,0,0
4700,13.038917000458694,0.0,0,0
4800,13.238764120071622,0.0,0,0
4900,13.52604272842387,0.0,0,0
5000,13.815761308894723,0.0,0,0
5100,14.046760877915343,0.0,0,0
5200,14.327297209056832,0.0,0,0
5300,14.517037951729018,0.0,0,0
5400,14.743943659999129,0.0,0,0
5500,14.990197316346764,0.0,0,0
5600,15.30000001620447,0.0,0,0
5700,15.50996501908837,0.0,0,0
5800,15.798577815180511,0.0,0,0
5900,16.046716204785326,0.0,0,0
6000,16.36825341914007,0.0,0,0
6100,16.784841893834784,0.0,0,0
6200,17.056985183497417,0.0,0,0
6300,17.46330924137878,0.0,0,0
6400,17.760964198772598,0.0,0,0
6500,18.05478008005716,0.0,0,0
6600,18.355211697196467,0.0,0,0
6700,18.69027265875397,0.0,0,0
6800,19.06738608116142,0.0,0,0
6900,19.349325537373957,0.0,0,0
7000,19.686375440474293,0.0,0,0
7100,19.960825224212687,0.0,0,0
7200,20.294388271553164,0.0,0,0
7300,20.722954948661663,0.0,0,0
7400,21.087568110634944,0.0,0,0
7500,21.385928858770004,0.0,0,0
7600,21.72628809380001,0.0,0,0
7700,22.08099067380587,0.0,0,0
7800,22.32780736052873,0.0,0,0
7900,22.572527546239158,0.0,0,0
8000,22.856031195025007,0.0,0,0
8100,23.197652821713593,0.0,0,0
8200,23.584888105603277,0.0,0,0
8300,24.083629935336603,0.0,0,0
8400,24.411119560463483,0.0,0,0
8500,24.861563986102723,0.0,0,0
8600,25.344668539933252,0.0,0,0
8700,25.713475074882616,0.0,0,0
8800,26.165579306818437,0.0,0,0
8900,26.51263221814894,0.0,0,0
9000,26.89358675299609,0.0,0,0
9100,27.199229037469927,0.0,0,0
9200,27.693039616458485,0.0,0,0
9300,28.26398257458187,0.0,0,0
9400,28.716402935263893,0.0,0,0
9500,29.04350235903908,0.0,0,0
9600,29.60994538019222,0.0,0,0
9700,30.047126406012055,0.0,0,0
9800,30.55535325621372,0.0,0,0
9900,30.920688919711864,0.0,0,0
10000,31.400542987227062,0.0,0,0
10100,31.70315057198015,0.0,0,0
10200,32.09644956428917,0.0,0,0
10300,32.51909337628387,0.0,0,0
10400,32.8276475935431,0.0,0,0
10500,33.29182701664852,0.0,0,0
10600,33.724770796356765,0.0,0,0
10700,34.00478218514816,0.0,0,0
10800,34.358872624408505,0.0,0,0
10900,34.74473545355757,0.0,0,0
11000,35.10628539447179,0.0,0,0
11100,35.44034373018873,0.0,0,0
11200,35.966391749358266,0.0,0,0
11300,36.40369756751705,0.0,0,0
11400,36.94547191994251,0.0,0,0
11500,37.5876506845406,0.0,0,0
11600,38.04120411595031,0.0,0,0
11700,38.506183682059365,0.0,0,0
11800,39.04521874415378,0.0,0,0
11900,39.60376435194432,0.0,0,0
12000,40.23901103034152,0.0,0,0
12100,40.88409030105811,0.0,0,0
12200,41.51594234015359,0.0,0,0
12300,41.99523469637956,0.0,0,0
12400,42.50151166573809,0.0,0,0
12500,42.87859197452409,0.0,0,0
12600,43.45062098175506,0.0,0,0
12700,44.063600115136445,0.0,0,0
12800,44.787207379019165,0.0,0,0
12900,45.57043052407623,0.0,0,0
13000,46.24806802755013,0.0,0,0
13100,46.82513757513273,0.0,0,0
13200,47.4910814230781,0.0,0,0
13300,48.1097276567635,0.0,0,0
13400,48.58198872318038,0.0,0,0
13500,49.09851614959027,0.0,0,0
13600,49.59909371322047,0.0,0,0
13700,50.27979610436985,0.0,0,0
13800,50.9274807334485,0.0,0,0
13900,51.6455948550949,0.0,0,0
14000,52.416341369880556,0.0,0,0
14100,53.232852083727565,0.0,0,0
14200,54.22842138880878,0.0,0,0
14300,55.29237145047376,0.0,0,0
14400,55.85918122084399,0.0,0,0
14500,56.345212395162974,0.0,0,0
14600,57.06783741368708,0.0,0,0
14700,57.982356002242085,0.0,0,0
14800,58.42004579919634,0.0,0,0
14900,59.11297188709832,0.0,0,0
15000,59.91586658618563,0.0,0,0
15100,60.57516099046619,0.0,0,0
15200,61.44887495091884,0.0,0,0
15300,62.01743169462204,0.0,0,0
15400,62.957874016742245,0.0,0,0
15500,63.673991194247044,0.0,0,0
15600,64.63054016658371,0.0,0,0
15700,65.62529391405259,0.0,0,0
15800,66.48968510610092,0.0,0,0
15900,67.37706888605341,0.0,0,0
16000,67.8772463872289,0.0,0,0
16100,68.6907759720756,0.0,0,0
16200,69.50960648283838,0.0,0,0
16300,70.31297928255513,0.0,0,0
16400,71.21613169043917,0.0,0,0
16500,72.22230123368703,0.0,0,0
16600,72.88706257346345,0.0,0,0
16700,73.72962866420559,0.0,0,0
16800,74.59278354108784,0.0,0,0
16900,75.54048624630835,0.0,0,0
17000,76.43032596015851,0.0,0,0
17100,77.09594608500532,0.0,0,0
17200,78.2210642392619,0.0,0,0
17300,79.14141220749165,0.0,0,0
17400,80.1366803591573,0.0,0,0
17500,81.16835062485627,0.0,0,0
17600,82.13180052168546,0.0,0,0
17700,83.38808429615048,0.0,0,0
17800,84.25428665954588,0.0,0,0
17900,85.07434669961313,0.0,0,0
18000,86.09197878944224,0.0,0,0
18100,86.8011790395407,0.0,0,0
18200,87.96211016103288,0.0,0,0
18300,89.09299063979712,0.0,0.0625,0.015625
18400,90.16117211193395,0.0,0,0
18500,90.97477156648148,0.0,0,0
18600,91.6509405096919,0.0,0,0
18700,92.7080947770333,0.0,0,0
18800,93.6460687969305,0.0,0,0
18900,94.67869719956525,0.0,0,0
19000,95.85668456701966,0.0,0,0
19100,96.72983220867494,0.0,0,0
19200,97.72188814901965,0.0,0,0
19300,99.04854339375272,0.0,0,0
19400,100.381544181293,0.0,0,0
19500,101.68041026741577,0.0,0,0
19600,102.99569216059038,0.0,0.0625,0.015625
19700,104.08919564464912,0.0,0.0625,0.015625
19800,104.98174324504673,0.0,0,0
19900,106.11012964006923,0.0,0.0625,0.015625
20000,107.54233685197535,0.0,0.0625,0.03125
20100,108.18460309044107,0.0,0.0625,0.046875
20200,109.26462505570345,0.0,0.0625,0.015625
20300,110.5097470633476,0.0,0,0
20400,111.7638018255219,0.0,0,0
20500,113.10373929781721,0.0,0.0625,0.015625
20600,114.1400528972468,0.0,0.0625,0.015625
20700,115.37311816648108,0.0,0.0625,0.03125
20800,116.73869741890942,0.0,0.0625,0.015625
20900,117.62712398082577,0.0,0.0625,0.046875
21000,118.53464966204622,0.0,0.0625,0.046875
21100,119.7984119823644,0.0,0,0
21200,120.80327033889046,0.0,0.0625,0.0625
21300,121.63936312963868,0.0,0.0625,0.03125
21400,122.61571824752605,0.0,0.0625,0.03125
21500,123.56554619272578,0.0,0.0625,0.046875
21600,125.13843043651717,0.0,0.0625,0.046875
21700,126.76529037978294,0.0,0.0625,0.046875
21800,127.9257298754269,0.0,0.0625,0.046875
21900,129.2598120515627,0.0,0.0625,0.046875
22000,130.64889024484785,0.0,0.0625,0.015625
22100,132.29286505131518,0.0,0.0625,0.03125
22200,133.3917404273563,0.0,0.0625,0.078125
22300,134.62648443440037,0.0,0.0625,0.0625
22400,135.8190961196429,0.0,0.0625,0.046875
22500,137.17168567692514,0.0,0.0625,0.0625
22600,138.3650622837409,0.0,0.0625,0.03125
22700,139.94489102977508,0.0,0.0625,0.0625
22800,141.027529741503,0.0,0.0625,0.125
22900,142.0948854813707,0.0,0.0625,0.015625
23000,143.50727379543508,0.0,0.0625,0.046875
23100,144.79239425824875,0.0,0.0625,0.078125
23200,146.28207441866286,0.0,0.0625,0.015625
23300,147.73966210796422,0.0,0.0625,0.078125
23400,149.39345447757452,0.0,0.0625,0.0625
23500,150.95766638642834,0.0,0.0625,0.03125
23600,152.54814641087432,0.0,0.0625,0.09375
23700,153.63901702520766,0.0,0.0625,0.125
23800,154.86717722712592,0.0,0.0625,0.09375
23900,156.41794076002245,0.0,0.0625,0.125
24000,157.90287604605206,0.0,0.0625,0.046875
24100,159.57584270171023,0.0,0.0625,0.171875
24200,161.3006762236525,0.0,0.0625,0.125
24300,162.61780786928043,0.0,0.0625,0.0625
24400,164.46174783299716,0.0,0.0625,0.0625
24500,165.44427137262633,0.0,0.0625,0.15625
24600,166.9628418639178,0.0,0.0625,0.078125
24700,167.92484111615192,0.0,0.0625,0.15625
24800,169.86735720522015,0.0,0.0625,0.140625
24900,171.27765309758888,0.0,0.0625,0.0625
25000,92.65771021402492,0.0,0.0625,0.125
25100,93.49116358669224,0.0,0.0625,0.125
25200,94.28412148589608,0.0,0.0625,0.1875
25300,95.12961897769807,0.0,0.0625,0.109375
25400,96.09529411635017,0.0,0.0625,0.078125
25500,96.92497573886641,0.0,0.0625,0.15625
25600,97.54867825324578,0.0,0.0625,0.125
25700,98.59704308209726,0.0,0.0625,0.140625
25800,99.61528591673198,0.0,0.0625,0.125
25900,100.56018636690037,0.0,0.0625,0.078125
26000,101.29159784568513,0.0,0.0625,0.078125
26100,102.28120028554619,0.0,0.0625,0.109375
26200,103.31102616257624,0.0,0.0625,0.15625
26300,104.34025014630588,0.0,0.0625,0.109375
26400,104.97923704333625,0.0,0.0625,0.140625
26500,106.25581604866017,0.0,0.0625,0.140625
26600,107.16120419557798,0.0,0.0625,0.109375
26700,108.38690977471393,0.0,0.0625,0.09375
26800,109.56322723654029,0.0,0.0625,0.140625
26900,110.75880053573336,0.0,0.0625,0.21875
27000,112.1626238137332,0.0,0.0625,0.140625
27100,113.54403078668946,0.0,0.0625,0.140625
27200,114.2813115510935,0.0,0.0625,0.1875
27300,115.23212948074712,0.0,0.0625,0.09375
27400,116.09029867957973,0.0,0.0625,0.140625
27500,117.03114789877957,0.0,0.0625,0.21875
27600,118.10381913773973,0.0,0.0625,0.1875
27700,119.01920837712346,0.0,0.0625,0.1875
27800,119.85188311857901,0.0,0.0625,0.25
27900,120.65833136254358,0.0,0.0625,0.125
28000,121.6781960274907,0.0,0.0625,0.109375
28100,122.87848268546054,0.0,0.0625,0.296875
28200,123.88931548864211,0.0,0.0625,0.171875
28300,124.83326539244578,0.0,0.0625,0.15625
28400,125.81045021140876,0.0,0.0625,0.1875
28500,126.71733728421313,0.0,0.0625,0.171875
28600,127.57186182557349,0.0,0.0625,0.125
28700,128.38552153844594,0.0,0.0625,0.15625
