Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,1.5919444920854608,0.0,0,0
1,1.5919444920854608,0.0,0,0
100,1.9031876693208647,0.0,0,0
200,2.21044418858354,0.0,0,0
300,2.449135499191528,0.0,0,0
400,2.7920500181275525,0.0,0,0
500,3.0958875636058223,0.0,0,0
600,3.4036389068486494,0.0,0,0
700,3.7288101981581367,0.0,0,0
800,4.003648424866072,0.0,0,0
900,4.295481901772123,0.0,0,0
1000,4.484162958408068,0.0,0,0
1100,4.793375312049652,0.0,0,0
1200,5.083997244759048,0.0,0,0
1300,5.349326888485896,0.0,0,0
1400,5.509908297583199,0.0,0,0
1500,5.763411885324568,0.0,0,0
1600,6.063805529620511,0.0,0,0
1700,6.2876571858668875,0.0,0,0
1800,6.544373216790388,0.0,0,0
1900,6.844398332297102,0.0,0,0
2000,7.060590633248033,0.0,0,0
2100,7.300160152625393,0.0,0,0
2200,7.561448681187218,0.0,0,0
2300,7.87042450758058,0.0,0,0
2400,8.14696623936362,0.0,0,0
2500,8.369630852430804,0.0,0,0
2600,8.617274662600673,0.0,0,0
2700,8.925807145907694,0.0,0,0
2800,9.139384278728574,0.0,0,0
2900,9.315260721634248,0.0,0,0
3000,9.481803151664195,0.0,0,0
3100,9.697902385776548,0.0,0,0
3200,9.918897605147029,0.0,0,0
3300,10.072069037790204,0.0,0,0
3400,10.283439837197772,0.0,0,0
3500,10.448636493918437,0.0,0,0
3600,10.70275956246556,0.0,0,0
3700,10.933515761336727,0.0,0,0
3800,11.17811909914638,0.0,0,0
3900,11.382041295692426,0.0,0,0
4000,11.658407982050521,0.0,0,0
4100,11.863385740131415,0.0,0,0
4200,12.084739468872966,0.0,0,0
4300,12.305030888031506,0.0,0,0
4400,12.542436685972069,0.0,0,0
4500,12.851008910541148,0.0,0,0
4600,13.137124873607956,0.0,0,0
4700,13.365747396960328,0.0,0,0
4800,13.690331626028822,0.0,0,0
4900,13.870237107642241,0.0,0,0
5000,14.1269010721843,0.0,0,0
5100,14.411829764520204,0.0,0,0
5200,14.65836243879526,0.0,0,0
5300,14.89941984696975,0.0,0,0
5400,15.140940660526452,0.0,0,0
5500,15.423810694370378,0.0,0,0
5600,15.709186242534257,0.0,0,0
5700,15.96921777681167,0.0,0,0
5800,16.209003626788142,0.0,0,0
5900,16.41884783829852,0.0,0,0
6000,16.675584203410512,0.0,0,0
6100,17.067826933634375,0.0,0,0
6200,17.40392976218023,0.0,0,0
6300,17.69728411876623,0.0,0,0
6400,18.00713865007625,0.0,0,0
6500,18.29520297848675,0.0,0,0
6600,18.63873474370506,0.0,0,0
6700,18.887196003749487,0.0,0,0
6800,19.267218973518375,0.0,0,0
6900,19.636507792557477,0.0,0,0
7000,19.9568846636363,0.0,0,0
7100,20.255782862706738,0.0,0,0
7200,20.589013330653312,0.0,0,0
7300,20.908412342973012,0.0,0,0
