Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,0.2222242649184542,0.0,0,0
1,0.2222242649184542,0.0,0,0
100,0.4756583821637704,0.0,0,0
200,0.7117184727108392,0.0,0,0
300,1.0006961681285322,0.0,0,0
400,1.2622372652341316,0.0,0,0
500,1.5510176846227526,0.0,0,0
600,1.8203423761864137,0.0,0,0
700,2.192606145611006,0.0,0,0
800,2.457887974911749,0.0,0,0
900,2.6742213391219,0.0,0,0
1000,2.9601983299791548,0.0,0,0
1100,3.3470844019955774,0.0,0,0
1200,3.5977745003536543,0.0,0,0
1300,3.8277199120201133,0.0,0,0
1400,4.157440321866625,0.0,0,0
1500,4.431357782416136,0.0,0,0
1600,4.678392636878425,0.0,0,0
1700,4.891526622965013,0.0,0,0
1800,5.164207423904816,0.0,0,0
1900,5.385288930356433,0.0,0,0
2000,5.656662790268351,0.0,0,0
2100,5.833435383595522,0.0,0,0
2200,6.080811186652761,0.0,0,0
2300,6.386847367400323,0.0,0,0
2400,6.643649564532488,0.0,0,0
2500,6.900509551613516,0.0,0,0
2600,7.095087893280427,0.0,0,0
2700,7.306021372432301,0.0,0,0
2800,7.5884771865097465,0.0,0,0
2900,7.839598369771046,0.0,0,0
3000,8.065181576442724,0.0,0,0
3100,8.206103480021206,0.0,0,0
3200,8.390650200931638,0.0,0,0
3300,8.58804303054023,0.0,0,0
3400,8.823356757259315,0.0,0,0
3500,9.065183004079726,0.0,0,0
3600,9.244464143239199,0.0,0,0
3700,9.522961157759282,0.0,0,0
3800,9.728694525545158,0.0,0,0
3900,9.92996009771376,0.0,0,0
4000,10.246034527295203,0.0,0,0
4100,10.457913424755844,0.0,0,0
4200,10.70810822341196,0.0,0,0
4300,10.930791921463006,0.0,0,0
4400,11.132916699730576,0.0,0,0
4500,11.349733956346581,0.0,0,0
4600,11.570585345325835,0.0,0,0
4700,11.846510113076432,0.0,0,0
4800,12.086706212180786,0.0,0,0
4900,12.317943490452233,0.0,0,0
5000,12.529698198092493,0.0,0,0
5100,12.774817452933998,0.0,0,0
5200,13.02197396572468,0.0,0,0
5300,13.231025411860344,0.0,0,0
5400,13.464168534571273,0.0,0,0
5500,13.70231313339924,0.0,0,0
5600,13.912477230553058,0.0,0,0
5700,14.186272503645533,0.0,0,0
5800,14.39977997959739,0.0,0,0
5900,14.713043061084878,0.0,0,0
6000,14.974706801211376,0.0,0,0
6100,15.230499755355353,0.0,0,0
6200,15.543893678501924,0.0,0,0
6300,15.788074822107772,0.0,0,0
6400,16.154062535396545,0.0,0,0
6500,16.40197227434619,0.0,0,0
6600,16.716010979888928,0.0,0,0
6700,17.08912354250258,0.0,0,0
6800,17.37145692319093,0.0,0,0
