Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,0.46334625261877627,0.0,0,0
1,0.4670146370188428,0.0,0,0
100,0.7221438703291924,0.0,0,0
200,1.0151922400486506,0.0,0,0
300,1.32772624100786,0.0,0,0
400,1.6258584271011673,0.0,0,0
500,1.932132393865566,0.0,0,0
600,2.221348057435181,0.0,0,0
700,2.516423348207169,0.0,0,0
800,2.787916341876004,0.0,0,0
900,3.0484832457464677,0.0,0,0
1000,3.309365940383241,0.0,0,0
1100,3.5789413089500517,0.0,0,0
1200,3.8071467731423776,0.0,0,0
1300,4.076668006482919,0.0,0,0
1400,4.353249984241947,0.0,0,0
1500,4.614000877035806,0.0,0,0
1600,4.749503024752077,0.0,0,0
1700,4.976121763226089,0.0,0,0
1800,5.266392862011895,0.0,0,0
1900,5.586735737360583,0.0,0,0
2000,5.896462537075262,0.0,0,0
2100,6.157274884085013,0.0,0,0
2200,6.350038969517478,0.0,0,0
2300,6.560632273421307,0.0,0,0
2400,6.808933378702408,0.0,0,0
2500,7.0262652455691255,0.0,0,0
2600,7.312424588257528,0.0,0,0
2700,7.574677089745683,0.0,0,0
2800,7.846707406647045,0.0,0,0
2900,8.060591640430992,0.0,0,0
3000,8.268062715593603,0.0,0,0
3100,8.476323025240179,0.0,0,0
3200,8.652401246837504,0.0,0,0
3300,8.907074263474966,0.0,0,0
3400,9.141457142613682,0.0,0,0
3500,9.454441689123305,0.0,0,0
3600,9.68181134177874,0.0,0,0
3700,9.911602129990722,0.0,0,0
3800,10.253295797799774,0.0,0,0
3900,10.50055008093172,0.0,0,0
4000,10.752167663214639,0.0,0,0
4100,11.061593580186946,0.0,0,0
4200,11.336192938946068,0.0,0,0
4300,11.574710725856056,0.0,0,0
4400,11.870378383114108,0.0,0,0
4500,12.11994021861242,0.0,0,0
4600,12.387729473592584,0.0,0,0
4700,12.716583325384846,0.0,0,0
4800,12.954946093664933,0.0,0,0
4900,13.157457854650664,0.0,0,0
5000,13.368813100748612,0.0,0,0
5100,13.692517935463908,0.0,0,0
5200,13.958629206641543,0.0,0,0
5300,14.177903056503743,0.0,0,0
5400,14.50559174443545,0.0,0,0
5500,14.742441998579862,0.0,0,0
5600,15.045365503239848,0.0,0,0
5700,15.34344433956592,0.0,0,0
5800,15.770517591645252,0.0,0,0
5900,16.101037390219656,0.0,0,0
6000,16.385749053755077,0.0,0,0
6100,16.588565891448322,0.0,0,0
6200,16.85362852116274,0.0,0,0
6300,17.11724847550419,0.0,0,0
6400,17.444118854135503,0.0,0,0
6500,17.664878239393847,0.0,0,0
6600,17.877649067081776,0.0,0,0
6700,18.206731191549274,0.0,0,0
6800,18.464720813465288,0.0,0,0
6900,18.753028493038563,0.0,0,0
7000,19.024578153706,0.0,0,0
7100,19.427254006686162,0.0,0,0
7200,19.67698872385527,0.0,0,0
7300,19.918437841762767,0.0,0,0
7400,20.25708324870047,0.0,0,0
7500,20.621510300682743,0.0,0,0
7600,20.965951734876526,0.0,0,0
7700,21.246824286176476,0.0,0,0
7800,21.607792236314225,0.0,0,0
7900,21.8195495282998,0.0,0,0
8000,22.101055611088157,0.0,0,0
8100,22.36790251065634,0.0,0,0
8200,22.63339645098757,0.0,0,0
8300,23.027434124137564,0.0,0,0
8400,23.25746553098614,0.0,0,0
8500,23.67330681860102,0.0,0,0
8600,23.9275464421727,0.0,0,0
8700,24.2271946918013,0.0,0,0
8800,24.588202576335817,0.0,0,0
8900,24.887746414334828,0.0,0,0
9000,25.299342117067983,0.0,0,0
9100,25.597263164417267,0.0,0,0
9200,26.012811952118902,0.0,0,0
9300,26.359031306714215,0.0,0,0
9400,26.950600923173937,0.0,0,0
9500,27.330490621443346,0.0,0,0
9600,27.74022810557911,0.0,0,0
9700,28.140411635476973,0.0,0,0
9800,28.485119620374515,0.0,0,0
9900,28.84998976918567,0.0,0,0
10000,29.217870752210864,0.0,0,0
10100,29.60897324128132,0.0,0,0
10200,29.85510274374559,0.0,0,0
10300,30.342320319974583,0.0,0,0
10400,30.790118211232375,0.0,0,0
10500,31.130441502574154,0.0,0,0
10600,31.401694769110478,0.0,0,0
10700,31.75804154022105,0.0,0,0
10800,32.11520153628232,0.0,0,0
10900,32.56257353018596,0.0,0,0
11000,33.001031506865765,0.0,0,0
11100,33.27836783109019,0.0,0,0
11200,33.58730360314285,0.0,0,0
11300,34.041844185317665,0.0,0,0
11400,34.42794256457349,0.0,0,0
11500,34.83883718739839,0.0,0,0
11600,35.2917004859228,0.0,0,0
11700,35.79120415581202,0.0,0,0
11800,36.227949816064736,0.0,0,0
11900,36.59789201344635,0.0,0,0
12000,37.04922421983843,0.0,0,0
12100,37.50579457575053,0.0,0,0
12200,37.864576525886356,0.0,0,0
12300,38.16967202787631,0.0,0,0
12400,38.64062813240273,0.0,0,0
12500,39.07676067579415,0.0,0,0
12600,39.55592337851978,0.0,0,0
12700,40.06767900600417,0.0,0,0
12800,40.47940763813692,0.0,0,0
12900,40.937932825550945,0.0,0,0
13000,41.48872396416565,0.0,0,0
13100,42.155451605171834,0.0,0,0
13200,42.67719920207394,0.0,0,0
13300,43.22013300490849,0.0,0,0
13400,43.82807606174076,0.0,0,0
13500,44.363516996654546,0.0,0,0
13600,44.797225187710374,0.0,0,0
13700,45.230926579210156,0.0,0,0
13800,45.67169426984155,0.0,0,0
13900,46.159257778530566,0.0,0,0
14000,46.78635210386076,0.0,0,0
14100,47.31608387393518,0.0,0,0
14200,47.71478327653191,0.0,0,0
14300,48.153354704997824,0.0,0,0
14400,48.68616757621983,0.0,0,0
14500,49.322696743880755,0.0,0,0
14600,49.7460513760621,0.0,0,0
14700,50.36781432051354,0.0,0,0
14800,50.7117136897687,0.0,0,0
14900,51.455192362230754,0.0,0,0
15000,51.90072817068398,0.0,0,0
15100,52.332268441201215,0.0,0,0
