Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,0.30880861068094495,0.0,0,0
1,0.3108570851609023,0.0,0,0
100,0.5146180724414657,0.0,0,0
200,0.7757362110720283,0.0,0,0
300,1.0644628513561087,0.0,0,0
400,1.3639633927292176,0.0,0,0
500,1.6132641412760784,0.0,0,0
600,1.899981632659088,0.0,0,0
700,2.1459063330624475,0.0,0,0
800,2.4079604315177114,0.0,0,0
900,2.681621032707613,0.0,0,0
1000,2.9483859205994327,0.0,0,0
1100,3.2374865561656074,0.0,0,0
1200,3.466392781300597,0.0,0,0
1300,3.642818595629191,0.0,0,0
1400,3.8870849705167783,0.0,0,0
1500,4.116954034884914,0.0,0,0
1600,4.392551587128914,0.0,0,0
1700,4.64594893206439,0.0,0,0
1800,4.966102465318203,0.0,0,0
1900,5.115555911524911,0.0,0,0
2000,5.35336845036068,0.0,0,0
2100,5.533858686825253,0.0,0,0
2200,5.84446708199438,0.0,0,0
2300,6.137906106079883,0.0,0,0
2400,6.374753161604896,0.0,0,0
2500,6.53573774092688,0.0,0,0
2600,6.77308361680425,0.0,0,0
2700,6.992616840150196,0.0,0,0
2800,7.23834400771799,0.0,0,0
2900,7.4394103530849955,0.0,0,0
3000,7.711334867064101,0.0,0,0
3100,7.958086363778799,0.0,0,0
3200,8.163228241132407,0.0,0,0
3300,8.414890114207097,0.0,0,0
3400,8.675216720663075,0.0,0,0
3500,8.854277199458732,0.0,0,0
3600,9.08358886443749,0.0,0,0
3700,9.315869617005935,0.0,0,0
3800,9.527962974692098,0.0,0,0
3900,9.844177801247177,0.0,0,0
4000,10.14173930885344,0.0,0,0
4100,10.347522397750977,0.0,0,0
4200,10.554347986434179,0.0,0,0
4300,10.809778473231464,0.0,0,0
4400,11.045967107872043,0.0,0,0
4500,11.30013068502573,0.0,0,0
4600,11.58701009762947,0.0,0,0
4700,11.86562019542219,0.0,0,0
4800,12.071083897720131,0.0,0,0
4900,12.444903348381203,0.0,0,0
5000,12.678571747746227,0.0,0,0
5100,12.88006413321992,0.0,0,0
5200,13.084146645028852,0.0,0,0
5300,13.383627136463357,0.0,0,0
5400,13.621961466712403,0.0,0,0
5500,13.908890604539236,0.0,0,0
5600,14.200938923081807,0.0,0,0
5700,14.437622184124375,0.0,0,0
5800,14.64734897396707,0.0,0,0
5900,14.86970510532026,0.0,0,0
6000,15.17092082506631,0.0,0,0
6100,15.451831870633123,0.0,0,0
6200,15.76973004142409,0.0,0,0
6300,16.017464663674648,0.0,0,0
6400,16.260240137897007,0.0,0,0
6500,16.528927961548064,0.0,0,0
6600,16.80006661427629,0.0,0,0
6700,17.0503381779135,0.0,0,0
6800,17.26092715943878,0.0,0,0
6900,17.587803215585282,0.0,0,0
7000,17.834950151591617,0.0,0,0
7100,18.114153874836635,0.0,0,0
7200,18.37015982760534,0.0,0,0
7300,18.752554280821847,0.0,0,0
7400,19.046078673721258,0.0,0,0
7500,19.394689776130456,0.0,0,0
7600,19.70605487477301,0.0,0,0
7700,20.026482365185824,0.0,0,0
7800,20.335810051794923,0.0,0,0
7900,20.610344568754964,0.0,0,0
8000,20.967675190175644,0.0,0,0
8100,21.24494135193033,0.0,0,0
8200,21.477000193848536,0.0,0,0
8300,21.840680046292942,0.0,0,0
8400,22.20087145100793,0.0,0,0
8500,22.608821144150465,0.0,0,0
8600,23.032871197882457,0.0,0,0
8700,23.31781401819083,0.0,0,0
8800,23.666609763787232,0.0,0,0
8900,23.957395863023027,0.0,0,0
9000,24.30026888261347,0.0,0,0
9100,24.745034763467274,0.0,0,0
9200,25.016045261184807,0.0,0,0
9300,25.333365152794002,0.0,0,0
9400,25.619866207766574,0.0,0,0
9500,25.967385916188,0.0,0,0
9600,26.388689412322027,0.0,0,0
9700,26.72980951879646,0.0,0,0
9800,27.171878776633193,0.0,0,0
9900,27.54226396565697,0.0,0,0
10000,27.940622123908106,0.0,0,0
10100,28.316801568635977,0.0,0,0
10200,28.617700610448587,0.0,0,0
10300,29.05626625496978,0.0,0,0
10400,29.388041248206008,0.0,0,0
10500,29.946058944801173,0.0,0,0
10600,30.411227155235842,0.0,0,0
10700,30.94768055028043,0.0,0,0
10800,31.451391831028275,0.0,0,0
10900,31.93043771621569,0.0,0,0
11000,32.232269237375604,0.0,0,0
11100,32.69008552559379,0.0,0,0
11200,33.045355729365525,0.0,0,0
11300,33.59415171513459,0.0,0,0
11400,34.15514780701382,0.0,0,0
11500,34.61699530294554,0.0,0,0
11600,34.96293092945963,0.0,0,0
11700,35.2922447082843,0.0,0,0
11800,35.722278535519266,0.0,0,0
11900,36.16882257632507,0.0,0,0
12000,36.69252189284398,0.0,0,0
12100,37.20856724060086,0.0,0,0
12200,37.77630269976749,0.0,0,0
12300,38.299297661128115,0.0,0,0
12400,38.69147973663967,0.0,0,0
12500,39.21466478915165,0.0,0,0
12600,39.597896910516646,0.0,0,0
12700,40.218235126495415,0.0,0,0
12800,40.854267126740595,0.0,0,0
12900,41.25668392634338,0.0,0,0
13000,41.850119990512354,0.0,0,0
13100,42.45858774237002,0.0,0,0
13200,42.961087848646756,0.0,0,0
13300,43.312472769480216,0.0,0,0
13400,43.81780157321855,0.0,0,0
13500,44.427812345177585,0.0,0,0
13600,45.033548742028614,0.0,0,0
13700,45.755948784912015,0.0,0,0
13800,46.544218517564765,0.0,0,0
