Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,0.7029143446012952,0.0,0,0
1,0.7029143446012952,0.0,0,0
100,1.7608840721060666,0.0,0,0
200,2.718929486280897,0.0,0,0
300,3.817586798279161,0.0,0,0
400,4.663904858836368,0.0,0,0
500,5.47556557571496,0.0,0,0
600,6.230169015287483,0.0,0,0
700,6.865637117295694,0.0,0,0
800,7.309797675071683,0.0,0,0
900,7.861722311584557,0.0,0,0
1000,8.187425514129078,0.0,0,0
1100,8.623360285398311,0.0,0,0
1200,8.952670939910456,0.0,0,0
1300,9.247979247784517,0.0,0,0
1400,9.551681421733992,0.0,0,0
1500,9.828211489353109,0.0,0,0
1600,10.102982256467106,0.0,0,0
1700,10.316569947547036,0.0,0,0
1800,10.508488578453203,0.0,0,0
1900,10.655649219996306,0.0,0,0
2000,10.763962911174666,0.0,0,0
2100,10.850478211232835,0.0,0,0
2200,11.071527878466814,0.0,0,0
2300,11.18899076490001,0.0,0,0
2400,11.265294086469888,0.0,0,0
2500,11.371596890839,0.0,0,0
2600,11.427001613846633,0.0,0,0
2700,11.479127676151034,0.0,0,0
2800,11.599137210570493,0.0,0,0
2900,11.645229614230226,0.0,0,0
3000,11.714430984606622,0.0,0,0
3100,11.755109269248802,0.0,0,0
3200,11.800415528313222,0.0,0,0
3300,11.83587659953016,0.0,0,0
3400,11.890943016195433,0.0,0,0
3500,11.953351143421203,0.0,0,0
3600,12.008766700847541,0.0,0,0
3700,12.048588574642674,0.0,0,0
3800,12.088155398329825,0.0,0,0
3900,12.129810253656862,0.0,0,0
4000,12.168769833601822,0.0,0,0
4100,12.26378062278691,0.0,0,0
4200,12.325726521860972,0.0,0,0
4300,12.405228575334824,0.0,0,0
4400,12.482038446637787,0.0,0,0
4500,12.531923317390415,0.0,0,0
4600,12.560777097531005,0.0,0,0
4700,12.644619645608284,0.0,0,0
4800,12.70188395338579,0.0,0,0
4900,12.734718198444185,0.0,0,0
5000,12.807981106308873,0.0,0,0
5100,12.839554657975171,0.0,0,0
